channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
51,,,,,,322,2662,25,8,,200,200,200,1,
51,,,,,,313,2662,25,8,,175,175,175,1,
51,,,,,,304,2662,25,8,,150,150,150,1,
51,,,,,,295,2662,25,8,,125,125,125,1,
51,,,,,,331,2692,25,8,,225,225,225,1,
51,,,,,,322,2692,25,8,,200,200,200,1,
51,,,,,,313,2692,25,8,,175,175,175,1,
51,,,,,,304,2692,25,8,,150,150,150,1,
51,,,,,,295,2692,25,8,,125,125,125,1,
51,,,,,,331,2722,25,8,,225,225,225,1,
51,,,,,,322,2722,25,8,,200,200,200,1,
51,,,,,,313,2722,25,8,,175,175,175,1,
51,,,,,,304,2722,25,8,,150,150,150,1,
51,,,,,,295,2722,25,8,,125,125,125,1,
51,,,,,,331,2752,25,8,,225,225,225,1,
51,,,,,,322,2752,25,8,,200,200,200,1,
51,,,,,,313,2752,25,8,,175,175,175,1,
51,,,,,,304,2752,25,8,,150,150,150,1,
51,,,,,,295,2752,25,8,,125,125,125,1,
51,,,,,,331,2785,25,8,,225,225,225,1,
51,,,,,,322,2785,25,8,,200,200,200,1,
51,,,,,,313,2785,25,8,,175,175,175,1,
51,,,,,,304,2785,25,8,,150,150,150,1,
51,,,,,,295,2785,25,8,,125,125,125,1,
51,,,,,,331,2815,25,8,,225,225,225,1,
51,,,,,,322,2815,25,8,,200,200,200,1,
51,,,,,,313,2815,25,8,,175,175,175,1,
51,,,,,,304,2815,25,8,,150,150,150,1,
51,,,,,,295,2815,25,8,,125,125,125,1,
51,,,,,,331,2845,25,8,,225,225,225,1,
51,,,,,,322,2845,25,8,,200,200,200,1,
51,,,,,,313,2845,25,8,,175,175,175,1,
51,,,,,,304,2845,25,8,,150,150,150,1,
51,,,,,,295,2845,25,8,,125,125,125,1,
51,,,,,,331,2875,25,8,,225,225,225,1,
51,,,,,,322,2875,25,8,,200,200,200,1,
51,,,,,,313,2875,25,8,,175,175,175,1,
51,,,,,,304,2875,25,8,,150,150,150,1,
51,,,,,,295,2875,25,8,,125,125,125,1,
51,,,,,,331,2907,25,8,,225,225,225,1,
51,,,,,,322,2907,25,8,,200,200,200,1,
51,,,,,,313,2907,25,8,,175,175,175,1,
51,,,,,,304,2907,25,8,,150,150,150,1,
51,,,,,,295,2907,25,8,,125,125,125,1,
51,,,,,,331,2937,25,8,,225,225,225,1,
51,,,,,,322,2937,25,8,,200,200,200,1,
51,,,,,,313,2937,25,8,,175,175,175,1,
51,,,,,,304,2937,25,8,,150,150,150,1,
51,,,,,,295,2937,25,8,,125,125,125,1,
51,,,,,,331,2967,25,8,,225,225,225,1,
51,,,,,,322,2967,25,8,,200,200,200,1,
51,,,,,,313,2967,25,8,,175,175,175,1,
51,,,,,,304,2967,25,8,,150,150,150,1,
51,,,,,,295,2967,25,8,,125,125,125,1,
51,,,,,,331,2997,25,8,,225,225,225,1,
51,,,,,,322,2997,25,8,,200,200,200,1,
51,,,,,,313,2997,25,8,,175,175,175,1,
51,,,,,,304,2997,25,8,,150,150,150,1,
51,,,,,,295,2997,25,8,,125,125,125,1,
11,,,,,,51,3027,2,1386,,0,50,0,1,
14,,,,,,200,3088,1,1236,,0,50,0,1,
13,,,,,,200,3148,3,1236,,0,50,0,1,
14,,,,,,200,3210,1,1236,,0,50,0,1,
12,,,,,,200,3270,1,1236,,0,50,0,1,
12,,,,,,200,3273,1,1236,,0,50,0,1,
14,,,,,,200,3333,1,1236,,0,50,0,1,
13,,,,,,200,3393,3,1236,,0,50,0,1,
14,,,,,,200,3455,1,1236,,0,50,0,1,
11,,,,,,51,3515,3,1386,,0,50,0,1,
42,,,,,,,3027,491,,,7,4,,1,
41,151,231,,,,191,3031,120,40,,7,1,57,1,0.263157894736842
41,151,231,,,,191,3153,120,40,,7,2,57,1,0.263157894736842
41,151,231,,,,191,3276,120,40,,7,3,57,1,0.263157894736842
41,151,231,,,,191,3398,120,40,,7,4,57,1,0.263157894736842
31,,,,,,51,3031,482,50,,255,255,255,1,7 of 20
32,,,,,,101,3031,482,50,,255,255,255,1,4 / 4
33,,,,,,151,3031,482,50,,250,250,100,1,A
39,,,,,,1,3031,1000,50,,255,255,255,1,sly_demo3
51,,,,,,331,3031,482,8,,225,225,225,1,
51,,,,,,322,3031,482,8,,200,200,200,1,
51,,,,,,313,3031,482,8,,175,175,175,1,
51,,,,,,304,3031,482,8,,150,150,150,1,
51,,,,,,295,3031,482,8,,125,125,125,1,
51,,,,,,331,3031,482,8,,225,225,225,1,
51,,,,,,322,3031,482,8,,200,200,200,1,
51,,,,,,313,3031,482,8,,175,175,175,1,
51,,,,,,304,3031,482,8,,150,150,150,1,
51,,,,,,295,3031,482,8,,125,125,125,1,
51,,,,,,331,3031,25,8,,225,225,225,1,
51,,,,,,322,3031,25,8,,200,200,200,1,
51,,,,,,313,3031,25,8,,175,175,175,1,
51,,,,,,304,3031,25,8,,150,150,150,1,
51,,,,,,295,3031,25,8,,125,125,125,1,
51,,,,,,331,3061,25,8,,225,225,225,1,
51,,,,,,322,3061,25,8,,200,200,200,1,
51,,,,,,313,3061,25,8,,175,175,175,1,
51,,,,,,304,3061,25,8,,150,150,150,1,
51,,,,,,295,3061,25,8,,125,125,125,1,
51,,,,,,331,3091,25,8,,225,225,225,1,
