channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
0,,,,,,,80,,,,,,,1,
1,,,,,,625,34455,115,25,1,0,0,0,2,
11,,,,,,51,81,2,1386,,0,0,0,1,
13,,,,,,200,202,3,1236,,0,0,255,1,
12,,,,,,200,324,1,1236,,0,0,255,1,
12,,,,,,200,327,1,1236,,0,0,255,1,
13,,,,,,200,447,3,1236,,0,0,255,1,
11,,,,,,51,569,3,1386,,0,0,0,1,
42,,,,,,,81,491,,,1,4,,1,
41,151,231,,,,191,85,120,40,,1,1,58,1,0.258620689655172
41,151,231,,,,191,207,120,40,,1,2,58,1,0.258620689655172
41,151,231,,,,191,330,120,40,,1,3,58,1,0.258620689655172
41,151,231,,,,191,452,120,40,,1,4,58,1,0.258620689655172
31,,,,,,51,85,482,50,,255,255,255,1,1 of 71
32,,,,,,101,85,482,50,,255,255,255,1,4 / 4
33,,,,,,151,85,482,50,,250,250,100,1,D
39,,,,,,1,85,1000,50,,255,255,255,1, Song Title 
11,,,,,,51,572,2,1386,,0,0,0,1,
13,,,,,,200,693,3,1236,,0,0,255,1,
12,,,,,,200,815,1,1236,,0,0,255,1,
12,,,,,,200,818,1,1236,,0,0,255,1,
13,,,,,,200,938,3,1236,,0,0,255,1,
11,,,,,,51,1060,3,1386,,0,0,0,1,
42,,,,,,,572,491,,,2,4,,1,
41,151,231,,,,191,576,120,40,,2,1,58,1,0.258620689655172
41,151,231,,,,191,698,120,40,,2,2,58,1,0.258620689655172
41,151,231,,,,191,821,120,40,,2,3,58,1,0.258620689655172
41,151,231,,,,191,943,120,40,,2,4,58,1,0.258620689655172
31,,,,,,51,576,482,50,,255,255,255,1,2 of 71
32,,,,,,101,576,482,50,,255,255,255,1,4 / 4
33,,,,,,151,576,482,50,,250,250,100,1,D
39,,,,,,1,576,1000,50,,255,255,255,1, Song Title 
11,,,,,,51,1063,2,1386,,0,0,0,1,
13,,,,,,200,1184,3,1236,,0,0,255,1,
12,,,,,,200,1306,1,1236,,0,0,255,1,
12,,,,,,200,1309,1,1236,,0,0,255,1,
13,,,,,,200,1429,3,1236,,0,0,255,1,
11,,,,,,51,1551,3,1386,,0,0,0,1,
