channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content,
1,,,,,,900,11745,55,25,1,0,0,0,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1225,11869,55,25,1,255,255,80,2,,
1,,,,,,825,11929,55,25,1,255,130,5,2,,
1,,,,,,1125,11929,55,25,1,45,255,45,2,,
1,,,,,,775,11991,55,25,1,45,255,45,2,,
1,,,,,,1075,11991,55,25,1,0,0,0,2,,
1,,,,,,725,12051,55,25,1,0,0,0,2,,
1,,,,,,1050,12051,55,25,1,255,255,80,2,,
1,,,,,,700,12114,55,25,1,255,255,80,2,,
1,,,,,,1000,12114,55,25,1,255,130,5,2,,
1,,,,,,650,12174,55,25,1,255,130,5,2,,
1,,,,,,950,12174,55,25,1,45,255,45,2,,
1,,,,,,600,12236,55,25,1,45,255,45,2,,
1,,,,,,900,12236,55,25,1,0,0,0,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1200,12360,115,25,1,255,71,71,2,,
1,,,,,,800,12360,55,25,1,17,17,255,2,,
1,,,,,,725,12420,55,25,1,0,0,0,2,,
1,,,,,,1075,12482,115,25,1,0,0,0,2,,
1,,,,,,1150,12482,115,25,1,17,17,255,2,,
1,,,,,,625,12482,55,25,1,17,17,255,2,,
1,,,,,,725,12542,55,25,1,0,0,0,2,,
1,,,,,,1200,12605,115,25,1,255,71,71,2,,
1,,,,,,800,12605,55,25,1,17,17,255,2,,
1,,,,,,750,12665,55,25,1,178,125,255,2,,
1,,,,,,1100,12727,115,25,1,178,125,255,2,,
1,,,,,,1150,12727,115,25,1,17,17,255,2,,
1,,,,,,625,12727,55,25,1,17,17,255,2,,
1,,,,,,750,12787,55,25,1,178,125,255,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1175,12851,115,25,1,255,130,5,2,,
1,,,,,,775,12851,55,25,1,45,255,45,2,,
1,,,,,,700,12911,55,25,1,255,255,80,2,,
1,,,,,,1050,12973,115,25,1,255,255,80,2,,
1,,,,,,1125,12973,115,25,1,45,255,45,2,,
